,Unnamed: 0,JWTRNS_8.0,HISP_2,HISP_4,HISP_21,HISP_24,OCCP_6240.0,OCCP_9830.0,RAC1P_3,RAC1P_7,RAC1P_9,RACASN_0,RACASN_1,RACNH_0,RACNH_1,RACNUM_1,RACNUM_2,RACNUM_3,RACNUM_4,RACPI_0,RACPI_1,SFR_2.0,WAOB_8,OCCP_510.0,RACNUM_5,RACNUM_6,OCCP_2755.0,INTP,OIP,PAP,RETP,SEMP,SSIP,SSP,WAGP,PERNP,PINCP,POVPIP,Label_y
10,10,0.0004315408405456594,0.09561826216905213,0.0019818912676911765,0.000247736408461397,0.0022296276761525733,0.0004075663494042339,0.00039158335530995017,0.0014144949773441061,0.0003995748523570921,0.02230426825857288,0.945018500315664,0.05498149968433587,0.9996403826328786,0.00035961736712138284,0.9776957317414272,0.020697977352097368,0.0014384694684855313,0.00015183844389569497,0.9993127312539458,0.0006872687460541982,0.0028929219310653465,0.00035961736712138284,0.0001358554498014113,1.598299409428368e-05,0.0,0.0,2137.544054379625,584.0637105872005,34.855064150366175,2816.031128702269,1628.2859519302474,266.6093041931968,3138.4988240692933,30516.342473087432,32629.39951865224,41122.23051109964,328.155747426742,0.0
11,11,0.00053572298251595,0.021932174223607527,0.0010552119352586892,0.0002435104465981591,0.0023701683468887484,0.00047078686342310754,0.0004870208931963181,0.003847465056250913,0.0009902758161658466,0.021412685270864783,0.97881459114596,0.02118540885403984,0.9994805110472572,0.0005194889527427393,0.9785873147291352,0.019967856621049045,0.0013798925307229016,6.493611909284242e-05,0.9988798519456484,0.0011201480543515316,0.002597444763713697,0.0003084465656910014,3.246805954642121e-05,0.0,0.0,0.0,1986.005689260787,615.4783866742263,23.061252419402138,2479.360104791883,1645.578056266985,298.2689788656669,3569.059219144069,24137.993509159518,26185.967912951965,34754.80517703181,302.26301580521147,1.0
12,12,0.002252252252252252,0.026252815315315314,0.0009853603603603603,0.000633445945945946,0.01731418918918919,0.00035191441441441434,0.011472409909909909,0.0016188063063063065,0.11366835585585584,0.24408783783783786,0.4408783783783784,0.5591216216216216,0.7532376126126126,0.2467623873873874,0.7559121621621622,0.15723536036036034,0.07713963963963964,0.008586711711711712,0.9480574324324323,0.05194256756756757,0.014358108108108109,0.017032657657657657,0.00014076576576576576,0.001126126126126126,0.0,0.0,3054.0738368172624,651.7464598786243,77.39716790289951,3214.509440323668,2255.0019386378963,194.42852326365474,3114.3813216453136,28632.79669588672,31328.78883474395,41194.33538435603,352.30060579196214,0.0
13,13,0.000484945601754238,0.017711056759719998,0.0009909757948890954,0.0004006072362317618,0.0018343594501138566,0.000484945601754238,0.0007379606983216665,0.003879564814033904,0.00037952264485114284,0.015370667116471285,0.9846715020662901,0.015328497933710043,0.9997259003120521,0.00027409968794804763,0.9846293328835288,0.014421860504343425,0.0008855528379859998,6.325377414185713e-05,0.9993463776672008,0.0006536223327991902,0.002403643417390571,0.0002951842793286666,2.108459138061904e-05,0.0,0.0,0.0,1638.0389232812854,741.3176771347653,21.010050377202443,3008.0270182210083,1282.4239955888618,349.7080127321486,3897.461841148901,21858.59530314043,23482.37567079528,32796.5828216246,291.1236348423463,1.0
14,14,0.0004502944232767579,0.016383789400762037,0.0007620367163145134,0.00024246622791825425,0.0015587114651887774,0.0003117422930377554,0.0008313127814340147,0.0049186006234845855,0.00020782819535850364,0.01257360581918947,0.9901281607204709,0.009871839279528923,0.9998614478697608,0.00013855213023900243,0.9874263941808106,0.011153446484239694,0.0014201593349497748,0.0,0.9996189816418428,0.0003810183581572567,0.00228611014894354,0.0003463803255975061,0.0,0.0,0.0,0.0,1359.4353986752749,570.9810513959923,26.348620776389705,2326.9411419468433,1513.0407898046449,381.8311394315419,3540.218831223275,19570.108157960927,21416.23451007111,29288.905131214888,266.91517122912177,1.0
15,15,0.0018861569552037726,0.06658807679353318,0.0006062647356012126,0.0008420343550016839,0.005422701246210845,0.0007073088582014147,0.0006062647356012126,0.01353991242842708,0.0069046817110138105,0.02515998652745032,0.9704277534523408,0.029572246547659144,0.9977433479285956,0.002256652071404513,0.9748400134725496,0.023610643314247226,0.0014482990906028964,0.00010104412260020208,0.9906028965981812,0.009397103401818794,0.005793196362411586,0.0028292354328056588,0.0,0.0,0.0,0.0,2073.2502233738387,550.8827734095784,22.626429592566122,2266.586847748392,1608.1875,195.83184417441024,2517.6197283774122,27709.858827734097,29982.417260599414,36944.8441744103,316.2407652173913,0.0
16,16,0.0009316722361673623,0.2939849392488104,0.0026294716417450763,0.0010317692532762523,0.013108859355991192,0.0006198315290204351,0.0008662241865192417,0.0037536381415833814,0.0007930763663242835,0.02618306974452161,0.9477031584458784,0.05229684155412169,0.9994417666353542,0.0005582333646457335,0.9738169302554784,0.024419822289295783,0.0016362012412030119,9.624713183547132e-05,0.9987102884334048,0.0012897115665953154,0.0045967630164621106,0.0007199285461293254,4.234873800760737e-05,3.079908218735082e-05,0.0,0.0,2051.323267296209,661.9276706143493,20.319482453602475,2214.2418410081527,2151.414212605708,235.23693209574986,2767.835525348485,28681.41688760725,31374.18350120413,38783.71580954368,305.10692967245467,0.0
17,17,0.0010337698139214334,0.018492993337927862,0.0008040431886055594,0.00022972662531587406,0.0012634964392373074,0.0004594532506317481,0.00011486331265793706,0.10119457845164256,0.00011486331265793706,0.021938892717665973,0.9846083161038364,0.015391683896163563,0.9994256834367105,0.0005743165632896852,0.9780611072823341,0.020905122903744543,0.0008040431886055594,0.00022972662531587406,0.9988513668734206,0.0011486331265793705,0.0020675396278428673,0.00022972662531587406,0.00022972662531587406,0.0,0.0,0.0,2121.6813916558394,715.9136711419086,37.22101920023098,1713.378085751407,4101.522304027718,231.0379673740436,3142.393532553775,23670.41432077379,28244.92805755396,35733.56229247871,303.18503698314544,0.0
18,18,0.00038174932812118253,0.025836794527241632,0.001267407769362326,0.0002595895431224041,0.0014811873931101882,0.0006566088443684339,0.0009925482531150745,0.001985096506230149,0.0005039091131199609,0.019362325922306373,0.9798589054483264,0.02014109455167359,0.9994655509406304,0.0005344490593696557,0.9806376740776936,0.0180796481798192,0.0011299780112387005,0.00012215978499877843,0.9992517713168824,0.0007482286831175178,0.003084534571219155,0.00033593940874664064,3.053994624969461e-05,3.053994624969461e-05,0.0,0.0,1893.1269146608315,658.3521881838075,29.02060539752006,2486.9892414296137,1896.5882932166298,301.03938730853395,3698.2642231947493,23671.498322392414,25946.11261819729,34634.87919401897,295.3968460878135,1.0
19,19,0.001391594767603674,0.07528527692735876,0.0012663512385193431,0.00025048705816866127,0.004035624826050654,0.0004313943779571389,0.001489006401335931,0.019941553019760645,0.005134984692457556,0.05129418313387141,0.9021569718897856,0.09784302811021432,0.9968271639298636,0.0031728360701363764,0.9487058168661284,0.0459087113832452,0.004856665738936822,0.00048705816866128585,0.9925827998886724,0.007417200111327581,0.003089340384080156,0.0026857779014750906,5.5663790704146946e-05,4.1747843028110216e-05,0.0,0.0,2713.913425345044,809.8480635717275,68.07628607277289,2957.040468423254,2064.841087411125,250.63488080301133,3318.849519029695,31430.332714345463,33975.462650602414,43613.53646173149,337.2779764726161,0.0
